Наименование,Белки,Жиры,Углеводы,Ккал
Ролл Цукини маки,1.1,5.9,7.5,87
Напиток Липтон Айс-Ти Зелёный McDonalds 400 мл,0.0,0.0,27.0,110
Напиток Липтон Айс-Ти Лимон McDonalds 400 мл,0.0,0.0,27.0,110
Напиток Спрайт McDonalds 400 мл,0.4,0.0,41.0,165
Напиток Фанта McDonalds 400 мл,0.4,0.0,46.0,185
Напиток Чай чёрный/зелёный McDonalds,0.0,0.0,0.0,
Салат Овощной McDonalds,2.0,3.0,5.0,60
Салат Цезарь McDonalds,15.0,10.0,9.0,190
Соус барбекю McDonalds,0.2,0.3,11.0,48
Гречневая каша Малютка безмолочная,11.4,2.7,76.3,375
Гречневая каша Малютка молочная с черносливом,12.8,12.4,67.1,431
Гречневая каша ФрутоНяня безмолочная с яблоком,0.7,0.0,15.0,63
Гречневая кашка Heinz грушка абрикос смородинка молочная,12.0,2.9,76.2,379
Гречневая кашка Heinz низкоаллергенная без молока,9.5,1.6,74.0,350
Гречневая кашка ФрутоНяня молочная жидкая с яблоком,2.0,1.9,9.6,62
Зерновая каша Hipp с фруктами,0.8,0.1,15.9,71
Зерновая каша Hipp с яблоками и бананами,0.8,0.1,14.1,64
Йогурт Агуша вязкий с бананом 2.7%,3.0,2.7,12.0,88
Йогурт Агуша детский натуральный 2.9%,3.0,2.9,10.4,80
Йогурт Агуша детский с черносливом 2.6%,2.8,2.6,11.8,82
Салат Бордо готовый,3.5,19.0,7.9,214
Салат Венский готовый,10.2,27.5,2.5,299
Салат Вита готовый,1.1,9.0,6.1,63
Салат Витаминка готовый,1.0,10.1,10.8,137
Салат Витаминный готовый,1.4,13.4,5.8,146
Салат Вкус Италии готовый,11.8,11.0,1.5,153
Салат Воскресенский готовый,1.1,10.1,4.6,114
Салат Восторг готовый,4.6,17.2,8.3,205
Бульон куриный постный,0.1,0.0,0.0,1
Бульон овощной,0.2,0.1,0.9,5
Бульон рыбный,0.4,0.0,0.0,2
Крем-суп Gallina Blanca Грибной по-итальянски,8.5,5.0,59.0,330
Крем-суп Knorr Томатный по-итальянски,8.5,1.5,62.0,300
Окрошка мясная с квасом,2.1,1.7,6.3,52
Окрошка на кефире,3.1,1.9,4.3,47
Рассольник,1.4,2.0,5.0,42
Рассольник Yelli Петербургский,9.5,1.0,70.0,330
Свекольник,0.5,2.0,4.2,36
Смесь Bravolli бобовая суп-пюре,23.0,2.0,52.0,320
Ролл Чидори,8.5,8.0,14.3,163
Ролл Эби каиган,5.7,2.8,17.8,120
Сакана кимчи,6.5,3.0,10.6,96
Сан химаго,10.1,7.6,11.2,154
Сарада Бито,1.8,0.6,14.4,70
Сарада Вакамэ су,1.8,1.1,7.2,47
Сарада Гюнику,17.8,6.0,3.9,140
Сарада Ицаку,5.9,9.2,9.3,143
Соус карри McDonalds,0.0,0.0,12.0,50
Соус кетчуп McDonalds,0.0,0.3,6.6,27
Соус кисло-сладкий McDonalds,0.1,0.3,12.0,49
Соус сырный McDonalds,0.6,9.0,1.4,89
Сэндвич Биг Брекфаст Ролл,27.0,36.0,54.0,655
Сэндвич Биг Мак,27.0,26.0,41.0,510
Сэндвич Биг Тейсти,44.0,52.0,50.0,850
Сэндвич Биф а-ля Рус,29.0,31.0,44.0,580
Сэндвич Биф Ролл,20.0,29.0,43.0,520
Сэндвич Гамбургер,13.0,9.0,30.0,255
Сэндвич Гранд Де Люкс (Вкусно и точка),31.0,31.0,40.0,570
Сэндвич Двойной Чизбургер,27.0,24.0,31.0,450
Йогурт Агуша питьевой натуральный 3.1%,3.2,3.1,3.7,58
Йогурт Агуша питьевой с персиком 2.7%,2.8,2.7,10.7,81
Йогурт Агуша питьевой с черносливом 2.7%,2.8,2.7,10.7,81
Йогурт Здрайверы клубника 2.5%,2.8,2.5,13.3,90
Йогурт Здрайверы мультифрукт 2.5%,2.8,2.5,10.5,76
Йогурт Здрайверы персик-злаки 2.5%,2.8,2.5,14.0,90
Йогурт Здрайверы яблоко-банан 2.5%,2.8,2.5,14.0,90
Йогурт Растишка с бананом и печеньем,3.8,3.0,16.5,108
Йогурт Растишка с земляникой,2.9,1.6,15.6,88
Салат Грибной готовый,3.2,13.9,4.4,156
Салат Дальневосточный готовый,0.6,3.1,7.3,59
Салат Дары Сибири готовый,1.3,3.6,5.7,59
Салат Дарьюшка из морской капусты готовый,5.5,20.0,8.0,320
Салат Жемчужина готовый,2.9,7.1,7.0,103
Салат из корейской спаржи готовый,8.2,8.8,12.8,124
Салат из морской капусты Диетический с крабовыми палочками,6.0,3.0,2.0,84
Салат из морской капусты с зелёным горошком готовый,4.0,5.4,0.0,59
Салат из морской капусты с луком и пряностями,0.0,18.3,0.3,176
Салат из морской капусты с майонезом и ткемалевым соусом готовый,4.0,5.4,0.0,59
Салат из цветной капусты готовый,2.0,2.5,4.5,47
Смесь Bravolli суповая,18.0,1.5,60.0,330
Солянка Главсуп по-домашнему,1.3,2.5,4.0,44
Солянка Домашняя,3.5,3.5,4.3,64
Солянка овоще-грибная из свежей капусты,3.6,7.0,7.1,106
Солянка овощная из квашеной капусты,3.3,10.5,6.6,134
Солянка рыбная,2.4,1.2,1.2,25
Солянка сборная мясная,5.2,4.6,1.7,69
Суп 4 сезона из цветной капусты,0.1,0.1,8.4,38
Суп 4 сезона щавелевый,1.7,0.1,11.7,52
Суп Asian Fusion грибной с яйцом,31.0,12.0,34.0,368
Сарада Кайсо,1.7,2.4,10.8,71
Сарада Киноки,6.7,9.0,3.5,122
Сарада Мидори,1.3,1.2,4.2,33
Сарада Мояши,1.4,2.2,6.0,49
Сарада Рэтасу эби,6.5,4.7,16.0,132
Сарада Сяке-Кунсэно,9.8,18.0,1.9,208
Сарада Тако беби,3.0,1.4,8.6,60
Сарада Тори но маринадо,1.4,5.3,12.4,143
Сарада Тори-Кунсэно,10.0,5.7,15.0,164
Сэндвич Макчикен,20.0,19.0,44.0,435
Сэндвич Монблан Бургер,55.0,42.0,55.0,740
Сэндвич Роял Де Люкс,30.0,29.0,42.0,555
Сэндвич Роял Чизбургер,32.0,28.0,36.0,530
Сэндвич Филе-о-фиш,14.0,13.0,36.0,320
Сэндвич Фиш Ролл,17.0,23.0,49.0,475
Сэндвич Фреш Ролл,25.0,38.0,40.0,610
Сэндвич Цезарь Ролл,22.0,24.0,50.0,510
Сэндвич Чизбургер,16.0,13.0,30.0,305
Сэндвич Чикен Бекон,27.0,36.0,60.0,680
Йогурт Растишка с клубникой и печеньем,3.8,3.0,16.5,108
Йогурт Растишка с лесными ягодами,2.9,1.6,15.6,88
Йогурт Растишка с мякотью вишни,2.9,1.6,15.5,89
Йогурт Растишка с мякотью клубники,2.9,1.6,15.4,88
Йогурт Растишка с мякотью персика и абрикоса,2.9,1.6,15.6,88
Йогурт Растишка с печеньем,2.9,1.6,15.2,86
Йогурт Растишка с черникой,2.9,1.6,15.6,88
Йогуртное пюре Gerber с грушей и бананом,1.0,3.0,11.0,90
Йогуртное пюре Gerber с малиной и черникой,0.8,2.2,12.0,70
Каша 3 злака Nestle молочная с яблоком и грушей,14.0,10.0,67.5,416
Каша 5 злаков Nestle молочная с яблоком и бананом,14.0,10.0,68.0,418
Салат Испанский готовый,12.3,24.5,1.9,288
Салат Итальянский с ветчиной готовый,9.5,14.6,31.7,288
Салат Кальмары готовый,7.6,15.4,18.7,240
Салат Кальмары фаршированные готовый,10.2,16.2,11.8,234
Салат Камчатский готовый,8.1,1.7,6.1,73
Салат Катюша готовый,1.6,7.0,5.5,90
Салат Крабовые палочки готовый,6.6,14.8,13.7,217
Салат Крабовый готовый,9.2,7.4,5.9,128
Салат Красная шапочка готовый,7.7,25.6,5.8,288
Салат Курильский берег Дальневосточный из морской капусты,1.0,10.0,7.0,122
Салат Курочка-ряба готовый,11.4,22.4,3.9,261
Суп Hortex грибной с подберезовиками,2.7,0.3,8.2,52
Суп Hortex зимний,2.1,0.3,3.5,32
Суп Hortex из цветной капусты с картофелем и укропом,1.9,0.2,5.4,36
Суп Hortex итальянский,1.8,0.3,4.1,32
Суп Hortex осенний,2.5,0.3,3.7,34
Суп Hortex президентский,1.3,0.2,3.4,25
Суп Hortex рассольник,1.4,0.1,7.3,38
Суп Hortex с шампиньонами,1.9,0.3,5.6,37
Суп Hortex щавелевый,1.3,0.4,7.9,45
Каша 7 злаков Малютка безмолочная,10.9,2.2,73.2,374
Кефир Агуша 3.2%,2.7,3.2,4.0,56
Кисель ФрутоНяня из клюквы,0.0,0.0,11.0,44
Кисель ФрутоНяня из малины,0.0,0.0,11.5,46
Кисломолочный напиток Агуша Я Сам! Иммунити,2.0,3.4,8.3,72
Коктейль молочный Агуша Я Сам! кукуруза с бананом,2.5,3.0,10.5,85
Коктейль молочный Агуша Я Сам! рис-груша-яблоко,2.6,3.0,9.4,75
Коктейль молочный Агуша Я Сам! с гречкой,2.5,3.0,8.0,75
Салат Лосось готовый,8.3,14.2,17.7,275
Салат Маяк готовый,9.6,24.0,2.6,262
Салат Меридиан Сахалинский сочный из морской капусты,1.2,6.1,3.7,75
Салат Меридиан Солнечный морская капуста с овощами в майонезе,1.1,10.7,6.6,130
Салат Мимоза готовый,5.7,14.8,7.2,183
Салат Мираж готовый,15.0,8.8,3.3,152
Салат Монастырский готовый,1.5,18.1,7.4,198
Салат Морское ассорти готовый,1.4,4.3,7.3,71
Салат Морской дар готовый,7.4,20.2,2.6,239
Суп Yelli Азиатский из фасоли,21.0,2.0,44.0,280
Суп Yelli из киноа с красным рисом и чечевицей,13.0,3.5,50.0,280
Суп Yelli Итальянский с мелкой пастой,18.0,1.5,55.0,310
Суп Yelli Масурдал из чечевицы,22.0,1.5,49.0,300
Суп Yelli Семь бобов,20.0,1.5,50.0,290
Суп Yelli Турецкий с булгуром,19.0,1.5,54.0,310
Суп Yelli Чаудер с рисом и кукурузой,10.7,1.2,76.0,350
Суп гороховый,4.4,2.4,8.9,66
Коктейль молочный Здрайверы Клубника 3.2%,2.8,3.2,7.5,70
Коктейль молочный Здрайверы Крем-Брюле 3.0%,2.8,2.0,8.5,63
Коктейль молочный Здрайверы Шоколадный 3.0%,2.9,3.0,10.0,81
Коктейль молочный ФрутоНяня клубника-земляника,2.7,2.1,9.0,66
Кукурузная каша Малютка безмолочная,7.0,1.0,84.5,375
Кукурузная кашка Heinz низкоаллергенная без молока,7.8,3.0,80.4,380
Кукурузная кашка Heinz тыква чернослив морковочка молочная,12.9,6.4,71.2,394
Кукурузные палочки ФрутоНяня Яблоко-банан,6.0,0.0,78.0,345
Салат Московский готовый,5.3,20.2,6.1,227
Салат Мясной готовый,8.8,16.7,5.0,214
Салат Находка готовый,3.4,21.0,4.6,223
Салат Оливье по-домашнему готовый,5.1,16.5,3.9,187
Салат Оливье с ветчиной готовый,5.4,16.7,7.0,198
Салат Оливье с колбасой готовый,5.4,16.7,7.0,198
Салат Оливье с мясом готовый,5.4,16.7,7.0,198
Салат Охотничий готовый,14.4,14.8,7.3,219
Салат Печеночный готовый,5.6,14.4,3.2,164
Суп грибной,1.9,2.4,5.7,50
Суп Домашнее Бистро гороховый с копченостями,7.0,12.0,40.0,266
Суп Домашнее Бистро грибной с белыми грибами,4.0,10.0,42.0,274
Суп Домашнее Бистро куриный с вермишелью,7.0,8.0,40.0,260
Суп Домашнее Бистро рассольник с говядиной,1.5,7.0,11.0,109
Суп из зелёного горошка,3.2,1.2,11.2,56
Суп из лука-порея с макаронами,1.4,1.1,6.6,39
Суп из помидоров,1.3,1.8,1.9,28
Суп из помидоров с макаронами,1.5,1.8,3.3,35
Многозерновая кашка 5 злаков Heinz без молока,6.9,1.8,83.0,374
Многозерновая кашка Heinz Любопышки банан клубника йогуртная,13.0,10.9,65.0,410
Многозерновая кашка Heinz Любопышки слива абрикос черника молочная,13.0,11.0,66.0,414
Молоко Агуша с витаминами А и С 3.2%,2.9,3.2,4.7,59
Молоко Агуша с лактулозой 2.5%,3.0,3.2,4.5,59
Молоко Агуша Я Сам! Иммунити 2.5%,2.9,2.5,4.8,53
Молоко Тёма детское 3.2%,3.0,3.2,4.7,60
Молоко Тёма детское обогащенное 3.2%,2.9,3.2,4.7,59
Морс Агуша ягодный сбор,0.0,0.0,10.0,42
Салат Пикантный готовый,5.9,17.7,4.6,202
Салат Птица по-английски готовый,12.6,17.9,1.2,216
Салат Розовый фламинго готовый,7.3,16.0,5.8,206
Салат Русалочка готовый,7.8,15.6,2.7,203
Салат Русский узор готовый,3.2,14.9,8.2,177
Салат Санта Бремор из морских водорослей Чука,2.0,6.0,14.0,120
Салат Санта Бремор из морских водорослей Чука с ореховым соусом,3.5,3.0,11.0,85
Салат Сеул готовый,6.9,7.6,4.5,106
Салат Солнышко готовый,10.0,20.3,3.7,239
Салат Спаржа по-корейски Healthy Food,33.5,28.6,16.7,459
Салат Столичный готовый,7.6,18.8,6.4,217
Суп из помидоров с рисом,1.5,1.8,3.9,37
Суп из сельдерея,1.6,1.8,4.5,37
Суп из стручковой фасоли,2.2,0.6,8.9,43
Суп из цветной капусты (общепит),1.6,0.5,4.9,28
Суп из шпината с картофелем,2.2,0.9,6.6,40
Суп Итальянский с мелкой пастой,18.0,1.5,55.0,310
Суп картофельный,1.4,1.1,6.6,39
Суп картофельный с крупой,1.3,1.2,9.5,54
Суп картофельный с макаронными изделиями,1.3,1.0,8.4,48
Морс ФрутоНяня из клюквы и малины,0.0,0.0,10.0,42
Морс ФрутоНяня из ягод,0.0,0.0,11.4,46
Мультизлаковая каша Малютка молочная с печеньем,13.3,11.7,66.5,431
Мультизлаковая каша Малютка молочная с фруктами и овсянкой,12.2,14.2,67.1,445
Суп Лидкон гороховый со вкусом копченостей,16.0,4.5,42.0,270
Суп лимонный с рисом,1.4,2.2,8.7,58
Суп луковый,1.4,2.7,4.0,44
Суп молочный с макаронами,2.2,1.9,7.9,58
Суп молочный с рисом,1.8,1.9,7.3,54
Суп овощной,1.7,1.8,6.2,43
Суп овощной с фасолью,1.6,2.1,5.2,46
Суп перловый с грибами,1.6,1.2,6.4,43
Суп пшенный с мясом,2.9,2.2,6.4,57
Суп рисовый с мясом,0.7,1.1,5.2,34
Суп с бобовыми,3.4,2.2,1.4,66
Суп с рисом Asian Fusion грибной со шпинатом и яйцом,15.0,2.0,58.0,310
Абрикосовый компот,0.5,0.0,21.0,85
Абрикосовый сок,0.9,0.1,9.0,38
Айвовый компот,0.4,0.0,20.0,79
Айвовый сок,0.5,0.0,10.6,45
Ананасовый компот,0.1,0.1,14.0,71
Ананасовый нектар,0.1,0.0,12.9,54
Ананасовый сок,0.3,0.1,11.4,48
Апельсиновый нектар,0.3,0.0,10.1,43
Апельсиновый сок,0.9,0.2,8.1,36
Арбузный сок,0.6,0.1,5.9,38
Банановый сок,0.0,0.0,12.0,48
Березовый сок,0.1,0.0,5.8,24
Бузинный сок,1.1,0.2,5.1,27
Виноградный компот,0.5,0.0,19.7,77
Виноградный сок,0.3,0.0,14.0,54
Вишнёвый компот,0.3,0.2,24.0,99
Вишнёвый нектар,0.1,0.0,12.0,50
Вишнёвый сок,0.7,0.0,10.2,47
Гранатовый сок,0.3,0.0,14.5,64
Грейпфрутовый нектар,0.2,0.0,10.4,44
Грейпфрутовый сок,0.9,0.2,6.5,30
Грушевый компот,0.2,0.0,18.2,70
Грушевый нектар,0.1,0.1,8.8,37
Грушевый сок,0.4,0.3,11.0,46
Гуавовый сок,0.1,0.1,13.9,57
Земляничный сок,0.0,0.0,10.0,41
Кисель из вишневого сока,0.2,0.0,18.9,78
Кисель из клюквы,0.0,0.0,13.0,53
Кисель из кураги,0.4,0.0,12.9,54
Кисель из сливового варенья,0.1,0.0,15.5,63
Кисель из сушеных яблок,0.1,0.0,16.3,66
Кисель из яблок,0.1,0.1,23.7,97
Клубничный сок,0.6,0.4,7.0,31
Клюквенный сок,0.4,0.3,11.0,46
Компот из сухофруктов без сахара,0.8,0.0,14.2,60
Лаймовый сок,0.0,0.0,8.2,25
Лимонный сок,0.9,0.1,3.0,16
Малиновый сок,0.8,0.0,24.7,100
7up,0.0,0.0,8.7,38
Манговый сок,0.0,0.0,13.5,54
Мандариновый компот,0.1,0.0,18.1,69
Мандариновый сок,0.8,0.3,8.1,36
Морковный сок,1.1,0.1,6.4,28
Морковный сок Золотая Русь экзотик,0.0,0.0,11.0,44
Нектар из маракуйи,0.2,0.0,9.8,41
Нектар тыквенный Удачный,0.0,0.0,12.0,48
Нектариновый нектар,0.1,0.0,12.8,53
Нектариновый сок,0.4,0.0,8.6,37
Облепиховый сок,0.6,3.4,4.3,52
Огуречный сок,0.8,0.1,2.5,14
Вода,0.0,0.0,0.0,
Вода минеральная,0.0,0.0,0.0,
Вода содовая,0.0,0.0,0.0,
Газированный напиток Байкал Черноголовка,0.0,0.0,10.0,40
Газированный напиток Золото Саян Черноголовка,0.0,0.0,9.0,40
Газированный напиток Тархун Черноголовка,0.0,0.0,10.0,40
Горячий шоколад Fit Parad,3.0,5.5,42.0,230
Детское шампанское,0.0,0.0,10.6,44
Злаковый напиток Старая мельница Ячмень без кофеина,3.8,0.0,49.6,370
Какао Dr.Oetker,22.0,11.0,12.0,235
Персиковый компот,0.5,0.0,19.9,78
Персиковый нектар,0.2,0.0,9.0,38
Персиковый сок,0.9,0.1,9.5,40
Свекольный сок,1.0,0.0,9.9,42
Сливовый компот,0.5,0.0,23.9,96
Сливовый нектар,0.1,0.0,11.0,46
Сливовый сок,0.8,0.0,9.6,39
Сок киви,0.0,0.3,10.0,41
Сок нони,0.1,0.3,10.0,44
Сок овощная смесь Золотая Русь,0.0,0.0,5.0,20
Сок овощная смесь Тонус Active,0.0,0.0,6.2,25
Какао тёртое,13.5,54.0,17.8,607
Какао-крупка,14.0,54.0,18.0,607
Какао-напиток Nestle Nesquik быстрорастворимый,4.5,3.2,81.0,379
Какао-порошок,24.2,17.5,31.9,374
Какао-порошок Easy Product Premium 10-12,22.2,11.0,10.3,305
Какао-порошок Vanortton Gold натуральный,22.6,10.5,9.2,293
Какао-порошок алкализованный Продукты XXII века,24.0,11.0,52.6,417
Какао-порошок Золотой ярлык,24.0,15.0,10.0,350
Какао-порошок Лента,28.0,9.0,14.0,250
"Сок овощной Mr. Овощ с солью, сладким перцем и чесноком",0.0,0.0,5.0,20
Сок папайи,0.4,0.1,13.3,51
Сок петрушки,3.7,0.4,7.6,49
Сок сельдерея,0.7,0.3,4.8,31
Сок шпината,2.8,0.3,1.4,21
Томатный сок,1.1,0.2,3.8,21
Томатный сок J-7 с мякотью,0.2,0.0,5.3,22
Тыквенный сок,0.0,0.0,9.0,38
Черешневый компот,0.5,0.0,19.9,78
Какао-порошок Магнит,21.0,12.0,11.0,240
Какао-порошок обезжиренный 0-1%,30.0,0.9,11.0,179
Какао-порошок обезжиренный 0-2%,13.0,2.0,5.0,89
Квас Очаковский,0.0,0.0,5.5,30
Квас хлебный,0.2,0.0,5.2,27
Кедрокофе классический Sibereco,17.2,16.3,26.3,301
Кислородный коктейль Экотейль,7.0,0.0,83.0,360
Кола,0.0,0.0,10.4,42
Кола лайт,0.0,0.0,0.0,
Кофе Maxwell House гранулированный сухой,14.6,0.0,10.3,100
Черничный сок,0.0,1.0,8.0,38
Черноплодно-рябиновый сок,0.1,0.0,7.4,32
Черносмородиновый компот,0.3,0.1,13.9,58
Черносмородиновый сок,0.5,0.0,7.9,40
Шиповниковый сок,0.1,0.0,17.6,70
Яблочный компот,0.2,0.0,22.1,85
Яблочный нектар,0.1,0.0,10.0,41
Яблочный сок,0.4,0.4,9.8,42
Кофе Maxwell House растворимый сухой,14.6,0.0,10.3,100
Кофе жареный в зёрнах сухой,13.9,14.4,15.6,223
Кофе зелёный сухой,12.3,0.2,35.7,222
Кофе капучино,1.5,1.8,2.5,32
Кофе латте,2.0,2.1,3.2,40
Кофе латте макиато,1.5,1.4,2.0,29
Кофе моккачино,2.8,10.6,46.5,289
Кофе натуральный молотый сухой,13.9,14.4,4.1,201
Кофе по-Венски,1.1,6.7,1.4,70
Кофе по-ирландски,0.0,4.5,4.0,114
Кофе Президент молотый сухой,13.9,14.4,2.8,218
Кофе растворимый сухой,15.0,3.5,0.0,94
Кофе с молоком и сахаром,0.7,1.0,11.2,58
Кофе со сгущенным молоком,0.7,0.9,10.9,55
Кофе со сгущенным молоком и сахаром,0.6,0.6,13.6,62
Кофе черный,0.2,0.0,0.3,2
Кофе Чибо растворимый сухой,18.1,0.7,46.3,264
Кофе эспрессо макиато,1.1,0.8,1.8,19
Кофейный напиток,6.0,4.8,71.2,337
Кофейный напиток iCafe Iced French Vanilla Coffe,1.0,1.2,7.1,43
Кофейный напиток iCafe Iced Mocha,1.2,1.2,9.2,52
Кофейный напиток MacCoffee растворимый Оригинальный 3 в 1,3.0,8.0,86.0,420
Шоколад,5.4,35.3,56.5,544
Десерт итальянский Флоренция карамельный,3.6,17.2,53.0,376
Кофейный напиток Nescafé Xpress Choko Latte,1.4,1.2,8.3,52
Кофейный напиток Nescafé Xpress Vanilla,1.4,1.3,8.3,51
Лёд колотый,0.0,0.0,0.0,
Лимонад,0.0,0.0,6.4,26
Лимонад диетический,0.0,0.0,0.0,2
Миринда,0.0,0.0,7.5,31
Морс брусничный,0.1,0.0,10.7,41
Напиток AdeZ Восхитительный миндаль,0.0,1.1,0.5,13
Напиток AdeZ Изумительная соя,2.9,2.0,1.0,35
Напиток Alpro кокосовый с рисом,0.1,0.9,2.7,19
Шоколад Alpen Gold Апельсин и Бренди,5.7,28.5,58.6,516
Шоколад Alpen Gold Арахис и Кукурузные хлопья,7.0,27.7,59.7,518
Шоколад Alpen Gold Капучино,5.4,31.6,57.5,539
Шоколад Alpen Gold Клубника с Йогуртом,4.8,33.5,57.4,553
Шоколад Alpen Gold Миндаль и кокос,6.3,32.6,56.3,545
Шоколад Alpen Gold Молочный,5.7,27.9,61.4,522
Шоколад Alpen Gold Печенье и Изюм,5.6,25.2,62.5,502
Шоколад Alpen Gold Солёный арахис и крекер,7.7,29.0,53.0,525
Шоколад Alpen Gold Темный,5.7,28.5,58.7,517
Шоколад Alpen Gold Трюфель,5.3,33.5,55.3,546
Шоколад Alpen Gold Фундук,6.4,30.3,57.9,532
Торт Ассорти,4.7,14.9,36.1,294
Торт Банкетный,3.9,19.5,45.3,367
Торт Вензель мастера,5.0,12.0,38.1,274
Торт Верона,5.0,19.8,39.3,350
Торт Вивальди,4.3,12.8,52.6,340
Торт Вишнёвый сад,3.0,15.6,36.2,298
Торт Домашний с абрикосом,4.5,15.0,49.5,351
Торт Ёжик,4.1,25.0,50.9,445
Торт Зигзаг,6.2,16.8,37.2,311
Торт Зимняя вишня,3.1,6.1,55.5,282
Торт Золотой ключик,5.4,15.0,49.2,357
Абсент,0.0,0.0,8.8,171
Напиток Aqua Minerale Active,0.0,0.0,4.5,18
Напиток BonAqua Viva,0.0,0.0,4.6,19
Напиток Nestea Vitao Белый чай со вкусом абрикоса,0.0,0.0,6.3,26
Напиток Nestea Vitao Зеленый чай со вкусом клубники и Алое Вера,0.0,0.0,7.5,32
Напиток Nestea Вкус лесных ягод,0.0,0.0,7.8,33
Напиток Nestea Вкус лимона,0.0,0.0,7.5,31
Напиток Nestea Вкус персика,0.0,0.0,6.8,29
Огуречный рассол,0.0,0.0,0.3,12
Пепси,0.0,0.0,8.7,38
Пиво Балтика №0 Безалкогольное,0.0,0.0,6.1,33
Шоколад Alpen Gold Фундук и Изюм,5.7,25.3,59.6,493
Шоколад Alpen Gold Фундук и Хрустящая Вафля,6.8,30.6,55.0,525
Шоколад Alpen Gold Черника с Йогуртом,4.8,33.7,57.2,553
Шоколад Bounty,3.1,25.3,60.0,485
Шоколад Bounty Trio,3.9,24.6,57.9,471
Шоколад Bounty Райский Ананас,3.2,25.6,59.0,486
Шоколад Bounty Райское Манго,3.0,25.5,59.5,485
Шоколад Dove молочный с дробленым фундуком,7.5,34.3,53.0,555
Торт Изабелла,4.6,18.6,26.5,291
Торт Искушение,7.6,21.4,59.9,442
Торт Йогуртовый с клюквой,2.5,10.1,35.4,240
Торт К торжеству,3.8,17.6,45.2,349
Торт Карамелия,4.9,26.8,53.1,471
Торт Кариока,6.7,20.5,47.4,401
Торт Карусель,12.9,24.9,35.2,416
Торт Королевский орех,7.7,27.5,29.5,396
Торт Космический,6.6,27.6,58.6,462
Торт Крем-брюле,5.4,13.4,36.5,285
Бренди,0.0,0.0,0.5,225
Бурбон,0.0,0.0,0.4,235
Вермут,0.0,0.0,15.9,158
Вермут Cinzano Bianco белый,0.0,0.0,18.0,155
Вермут Cinzano Rose розовый,0.0,0.0,14.5,141
Вермут Martini,0.0,0.0,17.0,145
Вермут Martini Bianco белый,0.0,0.0,17.0,145
Вермут Martini Extra Dry сухой,0.0,0.0,2.5,110
Вермут Martini Rose розовый,0.0,0.0,16.0,140
Вермут Martini Rosso красный,0.0,0.0,15.0,138
Вермут Perlino Bianco белый,0.0,0.0,14.0,139
Мороженое Dove Vanilla,3.8,21.7,30.5,333
Пиво безалкогольное,0.0,0.0,4.7,26
Пиво Оболонь Безалкогольное,0.0,0.0,4.1,22
Пиво Сибирская корона Безалкогольное,0.0,0.0,4.7,26
Спрайт,0.1,0.0,7.0,29
Тоник,0.0,0.0,8.3,34
Фанта,0.0,0.0,11.7,48
Фанта Вкус ананаса,0.0,0.0,12.9,52
Цикорий растворимый,0.1,0.0,2.8,11
Шоколад Hershey’s Cookies’n’Creme,8.0,27.0,62.0,520
Шоколад Kinder,8.7,34.7,53.5,561
Шоколад Kinder Bueno,9.3,37.5,48.2,568
Шоколад Kinder сюрприз,8.6,32.9,53.0,543
Шоколад KitKat,6.3,28.2,61.1,524
Шоколад KitKat King Size,6.1,29.2,60.9,532
Шоколад KitKat Вкус Super Хруст,6.1,29.2,60.9,532
Шоколад Lindt Excellence 85% какао,11.0,46.0,19.0,530
Шоколад Lindt Excellence 99% какао,13.0,49.0,8.0,530
Шоколад M&M's с арахисом,9.6,26.4,62.2,512
Торт Крем-Брюле Mirel,3.7,12.4,39.7,285
Торт Крепвиль Бель Шерри,2.9,15.5,35.7,297
Торт Крепвиль Ле Нуар,3.4,17.9,36.1,322
Торт Крепвиль Ля Форте,2.9,15.5,35.3,296
Торт Крепвиль Шаттери,2.9,16.5,36.4,310
Торт Легенда осени,3.9,13.7,39.2,289
Торт Ленинградский,4.3,23.6,57.9,454
Торт Лесной гость,4.1,21.7,43.0,377
Торт Лилия,3.8,14.0,47.9,328
Вермут Perlino Rosso красный,0.0,0.0,14.0,139
Вино Asti Mondoro белое полусладкое игристое,0.0,0.0,9.0,78
Вино Riunite D'Oro белое полусладкое игристое,0.0,0.0,6.0,69
Вино Riunite Lambrusco Emilia красное полусладкое игристое,0.0,0.0,6.0,69
Вино Riunite Lambrusco Rose розовое полусладкое игристое,0.0,0.0,6.0,69
Вино белое десертное 16%,0.5,0.0,16.0,153
Вино белое Мускат,0.0,0.0,5.0,82
Вино белое Рислинг,0.0,0.0,4.0,80
Вино белое Совиньон,0.0,0.0,2.0,81
Мороженое Nestle Extreme Пломбир с чёрной смородиной,2.6,12.6,35.5,262
Мороженое Nestle Extreme Тропик,2.4,7.5,39.0,236
Мороженое Nestle Maxibon с печеньем и орехами,3.6,15.0,39.2,307
Мороженое Nestle Maxibon Страчателла,3.6,15.0,39.4,307
Мороженое Viva la Crema Грецкий орех,4.1,13.0,27.1,245
Мороженое Viva la Crema Лесная ягода,3.2,8.2,29.4,205
Мороженое Viva la Crema Персик-маракуйя,3.3,8.4,29.7,209
Мороженое Viva la Crema Тартюфо,3.9,13.0,27.7,243
Мороженое Viva la Crema Трюфель,2.5,9.6,27.6,210
Мороженое Viva la Crema Фисташковое,4.1,13.9,24.6,239
Мороженое Viva la Crema Шварцвальдская вишня,1.7,16.4,29.7,273
